epoch,train_loss,valid_loss,accuracy,dice_multi,jaccard_coeff_multi,time
0,0.5254846215248108,0.3340390920639038,0.7280394434928894,0.6911045063700602,0.5466049044033073,11:32
1,0.4967650771141052,0.3312177360057831,0.7310971021652222,0.6998774169994065,0.5552586200577977,11:33
2,0.5146022439002991,0.284715473651886,0.7474957704544067,0.6935820323971221,0.5550827731195406,11:33
3,0.5433176159858704,0.3174826502799988,0.7759461402893066,0.7250310358290619,0.5873376605360011,11:33
4,0.5052821636199951,0.3015178143978119,0.7653940916061401,0.719186069137459,0.5789780607611127,11:33
5,0.5158430933952332,0.29546377062797546,0.8179733157157898,0.7407200701657238,0.6129811332092853,11:33
6,0.5054070353507996,0.31318628787994385,0.7563024759292603,0.7106360679688093,0.571005142550746,11:33
7,0.5194949507713318,0.3122444152832031,0.7559958696365356,0.7055579845748391,0.564290305687917,11:33
8,0.5269170999526978,0.34452465176582336,0.7555792927742004,0.7006523948598594,0.561344770853257,11:33
9,0.502445638179779,0.3062249720096588,0.77842777967453,0.7166330660242098,0.580071966605551,11:33
10,0.506223201751709,0.32257190346717834,0.7615926265716553,0.6987408069904322,0.5633765917776309,11:33
11,0.5403302907943726,0.29935890436172485,0.7842728495597839,0.7194299259935292,0.5832865387787023,11:33
12,0.5293681621551514,0.3202694058418274,0.7753590941429138,0.7068160327915135,0.5735532966992092,11:33
13,0.5208338499069214,0.30016589164733887,0.7875139713287354,0.7171674807115296,0.584389980317852,11:33
14,0.5052102208137512,0.29356691241264343,0.7974293828010559,0.7344786006943146,0.6023647173486085,11:33
15,0.49780160188674927,0.31181102991104126,0.7745640277862549,0.708913248942217,0.5704995456839951,11:33
16,0.5401181578636169,0.3208291232585907,0.7698874473571777,0.701792794919002,0.5670647526065183,11:33
17,0.5118184685707092,0.3299323618412018,0.767243504524231,0.7011535357105388,0.5615524277558556,11:33
18,0.5026026368141174,0.325744092464447,0.778071939945221,0.7167393118143481,0.5795706624040166,11:33
19,0.5180482268333435,0.3164108991622925,0.777276873588562,0.7183858055566811,0.5820789555490341,11:32
20,0.4947386085987091,0.3427775800228119,0.7502391338348389,0.6681034742364652,0.5348547962775212,11:33
21,0.5103462934494019,0.36891043186187744,0.7435029149055481,0.6824809727408451,0.5444074680306342,11:33
22,0.518958568572998,0.28252995014190674,0.7812636494636536,0.7193524447689447,0.5837947123705437,11:33
23,0.5309422016143799,0.32435038685798645,0.7661563158035278,0.7104023360460658,0.5728028879075585,11:33
24,0.5247830748558044,0.3107888996601105,0.7838958501815796,0.7066114575403164,0.5714116731119547,11:33
25,0.5226466655731201,0.29677364230155945,0.7811576128005981,0.7183759971892508,0.5817574574039899,11:32
26,0.516464114189148,0.30547428131103516,0.7885783910751343,0.7243557603633443,0.5912432098403543,11:33
27,0.5130056142807007,0.2986542582511902,0.7436772584915161,0.6753756616870806,0.5418689083062322,11:33
28,0.5076675415039062,0.30583399534225464,0.792765200138092,0.7268510741184345,0.5954675006635374,11:33
29,0.5111111998558044,0.40623363852500916,0.6820768117904663,0.6534767413565868,0.507036102571696,11:33
30,0.5336599349975586,0.25586998462677,0.777884840965271,0.7211528434900845,0.5854776049222198,11:32
31,0.4997755289077759,0.30907222628593445,0.7697121500968933,0.7047815654680555,0.5653002381468137,11:33
32,0.5057716965675354,0.302118182182312,0.7847636938095093,0.7208459938025845,0.5859064776773063,11:33
33,0.4983399510383606,0.2910184860229492,0.782380223274231,0.7270378500257699,0.5916948739845274,11:33
34,0.5288424491882324,0.2917000353336334,0.7295553684234619,0.7032124913304111,0.5586569494319458,11:33
35,0.5093910098075867,0.3580920398235321,0.7353684306144714,0.6846191598491628,0.5393573243249926,11:33
36,0.4992084503173828,0.289705365896225,0.7337074279785156,0.6730669531400847,0.5364537911127172,11:33
37,0.5239320397377014,0.2964685559272766,0.794836699962616,0.7231890865038256,0.5922306438887323,11:33
38,0.49599695205688477,0.31624117493629456,0.8082767128944397,0.7251991449572275,0.5956782531606826,11:32
39,0.5140923261642456,0.30039650201797485,0.8017264604568481,0.7381861912708706,0.607042848598873,11:33
40,0.5134826898574829,0.3029581904411316,0.7751129269599915,0.7093341170406154,0.5737147530267808,11:32
41,0.48794496059417725,0.30348458886146545,0.7775083184242249,0.7218373990509349,0.5867623862344562,11:33
42,0.5038275718688965,0.2858310639858246,0.8102573156356812,0.7337399166839355,0.6090249181084141,11:33
43,0.4979269206523895,0.30717912316322327,0.7897496819496155,0.7241753300299755,0.5916516390922487,11:33
44,0.49650976061820984,0.29203560948371887,0.7970128655433655,0.7361517045883184,0.6041722899069829,11:33
45,0.4860888719558716,0.28890499472618103,0.7847545146942139,0.7255259143353675,0.5902599048712358,11:32
46,0.501899778842926,0.30558347702026367,0.7877224683761597,0.7280378934682341,0.5950206306509226,11:33
47,0.48653241991996765,0.2824079394340515,0.8056488633155823,0.743139121545375,0.6127826652473016,11:33
48,0.511859655380249,0.2914586067199707,0.7919321656227112,0.7259884997491949,0.5938055954876765,11:33
49,0.49088844656944275,0.27361610531806946,0.8053103089332581,0.7352421954997784,0.6031716738934078,11:33
50,0.48184043169021606,0.30430570244789124,0.7778887152671814,0.728285148353455,0.593273246288292,11:33
